timestamp,elapsed_s,voltage_V
2026-04-01T16:28:49.156645,0.045,0.8166
2026-04-01T16:28:49.302831,0.191,0.8134
2026-04-01T16:28:49.445426,0.334,0.8099
2026-04-01T16:28:49.588090,0.477,0.8159
2026-04-01T16:28:49.736523,0.625,0.8105
2026-04-01T16:28:49.883156,0.772,0.8064
2026-04-01T16:28:50.029339,0.918,0.8038
2026-04-01T16:28:50.172947,1.061,0.8019
2026-04-01T16:28:50.317191,1.206,0.8022
2026-04-01T16:28:50.461324,1.350,0.8080
2026-04-01T16:28:50.604840,1.493,0.8140
2026-04-01T16:28:50.746953,1.635,0.8121
2026-04-01T16:28:50.892917,1.781,0.8089
2026-04-01T16:28:51.035686,1.924,0.8025
2026-04-01T16:28:51.211167,2.100,0.8092
2026-04-01T16:28:51.354963,2.243,0.7961
2026-04-01T16:28:51.499303,2.388,0.8006
2026-04-01T16:28:51.650908,2.539,0.7977
2026-04-01T16:28:51.804062,2.693,0.6877
2026-04-01T16:28:51.979995,2.868,0.6487
2026-04-01T16:28:52.157085,3.046,0.7229
2026-04-01T16:28:52.302288,3.191,0.7542
2026-04-01T16:28:52.445062,3.334,0.7600
2026-04-01T16:28:52.587671,3.476,0.7370
2026-04-01T16:28:52.730533,3.619,0.6903
2026-04-01T16:28:52.874902,3.763,0.6631
2026-04-01T16:28:53.017588,3.906,0.6312
2026-04-01T16:28:53.161052,4.050,0.6021
2026-04-01T16:28:53.303949,4.192,0.5743
2026-04-01T16:28:53.446534,4.335,0.5506
2026-04-01T16:28:53.590055,4.479,0.5506
2026-04-01T16:28:53.732060,4.621,0.5522
2026-04-01T16:28:53.875646,4.764,0.6689
2026-04-01T16:28:54.021923,4.910,0.7757
2026-04-01T16:28:54.167095,5.056,0.9477
2026-04-01T16:28:54.309589,5.198,1.1737
2026-04-01T16:28:54.453147,5.342,1.2357
2026-04-01T16:28:54.597168,5.486,1.2280
2026-04-01T16:28:54.740481,5.629,1.2766
2026-04-01T16:28:54.884807,5.773,1.2741
2026-04-01T16:28:55.027588,5.916,1.2517
2026-04-01T16:28:55.172806,6.061,1.2936
2026-04-01T16:28:55.320705,6.209,1.3850
2026-04-01T16:28:55.468449,6.357,1.5122
2026-04-01T16:28:55.613808,6.502,1.5503
2026-04-01T16:28:55.759772,6.648,1.5551
2026-04-01T16:28:55.904483,6.793,1.6366
2026-04-01T16:28:56.050235,6.939,1.7837
2026-04-01T16:28:56.199609,7.088,1.8809
2026-04-01T16:28:56.345860,7.234,1.9723
2026-04-01T16:28:56.492011,7.380,1.9691
2026-04-01T16:28:56.637893,7.526,1.8262
2026-04-01T16:28:56.785753,7.674,1.7527
2026-04-01T16:28:56.936854,7.825,2.2635
2026-04-01T16:28:57.084656,7.973,2.4132
2026-04-01T16:28:57.230437,8.119,2.2798
2026-04-01T16:28:57.375626,8.264,0.7702
2026-04-01T16:28:57.519594,8.408,0.5941
2026-04-01T16:28:57.662502,8.551,0.5986
2026-04-01T16:28:57.809320,8.698,0.5407
2026-04-01T16:28:57.961590,8.850,0.5196
2026-04-01T16:28:58.108662,8.997,0.5030
2026-04-01T16:28:58.253692,9.142,0.4668
2026-04-01T16:28:58.399776,9.288,0.4643
2026-04-01T16:28:58.545005,9.433,0.4534
2026-04-01T16:28:58.692706,9.581,0.4560
2026-04-01T16:28:58.837889,9.726,0.4512
2026-04-01T16:28:58.987455,9.876,0.4566
2026-04-01T16:28:59.131902,10.020,0.4553
2026-04-01T16:28:59.277190,10.166,0.4528
2026-04-01T16:28:59.421501,10.310,0.4537
2026-04-01T16:28:59.566726,10.455,0.4518
2026-04-01T16:28:59.713993,10.602,0.4521
2026-04-01T16:28:59.864867,10.753,0.4489
2026-04-01T16:29:00.016349,10.905,0.4502
2026-04-01T16:29:00.164604,11.053,0.4624
2026-04-01T16:29:00.309264,11.198,0.5733
2026-04-01T16:29:00.453530,11.342,0.6232
2026-04-01T16:29:00.598203,11.487,0.6647
2026-04-01T16:29:00.747344,11.636,0.7194
2026-04-01T16:29:00.910437,11.799,0.9051
2026-04-01T16:29:01.058013,11.946,1.0250
2026-04-01T16:29:01.207968,12.096,1.2143
2026-04-01T16:29:01.353722,12.242,1.5484
2026-04-01T16:29:01.500038,12.389,1.8150
2026-04-01T16:29:01.644231,12.533,1.9406
2026-04-01T16:29:01.789794,12.678,2.0583
2026-04-01T16:29:01.934199,12.823,1.8070
2026-04-01T16:29:02.076601,12.965,1.0449
2026-04-01T16:29:02.219978,13.108,0.9211
2026-04-01T16:29:02.370783,13.259,1.5452
2026-04-01T16:29:02.517687,13.406,2.2415
2026-04-01T16:29:02.664365,13.553,3.1894
2026-04-01T16:29:02.811308,13.700,3.6689
2026-04-01T16:29:02.957182,13.846,3.5711
2026-04-01T16:29:03.103811,13.992,1.2565
2026-04-01T16:29:03.248734,14.137,0.6612
2026-04-01T16:29:03.393816,14.282,0.6152
2026-04-01T16:29:03.538394,14.427,0.5183
2026-04-01T16:29:03.683983,14.572,0.5023
2026-04-01T16:29:03.832253,14.721,0.4700
2026-04-01T16:29:03.978110,14.867,0.4633
2026-04-01T16:29:04.124441,15.013,0.4649
2026-04-01T16:29:04.269887,15.158,0.4620
2026-04-01T16:29:04.414944,15.303,0.4630
2026-04-01T16:29:04.560495,15.449,0.4627
2026-04-01T16:29:04.708220,15.597,0.4486
2026-04-01T16:29:04.856881,15.745,0.4595
2026-04-01T16:29:05.004276,15.893,0.4572
2026-04-01T16:29:05.153936,16.042,0.4371
2026-04-01T16:29:05.301740,16.190,0.4803
2026-04-01T16:29:05.448390,16.337,0.7034
2026-04-01T16:29:05.592191,16.481,1.0017
2026-04-01T16:29:05.737346,16.626,1.0628
2026-04-01T16:29:05.882584,16.771,1.1142
2026-04-01T16:29:06.030432,16.919,1.1321
