sample_index,elapsed_s,voltage_V
0,0.000000,0.14586
1,0.000100,0.14618
2,0.000200,0.14331
3,0.000300,0.14171
4,0.000400,0.14267
5,0.000500,0.14267
6,0.000600,0.14107
7,0.000700,0.14107
8,0.000800,0.14011
9,0.000900,0.14107
10,0.001000,0.14107
11,0.001100,0.14011
12,0.001200,0.13915
13,0.001300,0.13947
14,0.001400,0.14011
15,0.001500,0.14011
16,0.001600,0.13979
17,0.001700,0.13947
18,0.001800,0.13915
19,0.001900,0.13851
20,0.002000,0.14011
21,0.002100,0.14043
22,0.002200,0.14011
23,0.002300,0.14075
24,0.002400,0.14107
25,0.002500,0.14075
26,0.002600,0.14235
27,0.002700,0.14171
28,0.002800,0.14203
29,0.002900,0.14299
30,0.003000,0.14363
31,0.003100,0.14459
32,0.003200,0.14363
33,0.003300,0.14554
34,0.003400,0.14618
35,0.003500,0.14650
36,0.003600,0.14714
37,0.003700,0.14714
38,0.003800,0.14810
39,0.003900,0.14810
40,0.004000,0.14938
41,0.004100,0.14906
42,0.004200,0.14810
43,0.004300,0.15162
44,0.004400,0.15162
45,0.004500,0.15258
46,0.004600,0.15258
47,0.004700,0.15418
48,0.004800,0.15418
49,0.004900,0.15450
50,0.005000,0.15482
51,0.005100,0.15546
52,0.005200,0.15546
53,0.005300,0.15641
54,0.005400,0.15705
55,0.005500,0.15769
56,0.005600,0.15801
57,0.005700,0.15641
58,0.005800,0.15769
59,0.005900,0.15929
60,0.006000,0.15769
61,0.006100,0.15801
62,0.006200,0.15609
63,0.006300,0.15705
64,0.006400,0.15737
65,0.006500,0.15609
66,0.006600,0.15514
67,0.006700,0.15482
68,0.006800,0.15577
69,0.006900,0.15418
70,0.007000,0.15418
71,0.007100,0.15386
72,0.007200,0.15258
73,0.007300,0.15226
74,0.007400,0.15162
75,0.007500,0.15098
76,0.007600,0.15034
77,0.007700,0.15034
78,0.007800,0.14874
79,0.007900,0.14810
80,0.008000,0.14778
81,0.008100,0.14586
82,0.008200,0.14618
83,0.008300,0.14491
84,0.008400,0.14459
85,0.008500,0.14459
86,0.008600,0.14299
