timestamp,mean_voltage_V,min_voltage_V,max_voltage_V,std_voltage_V,ldr_resistance_ohm,approx_lux
2026-03-18 21:49:07.569330,4.096818,4.095076,4.099232,0.000805,2204.59,8.67
2026-03-18 21:49:08.071321,4.100166,4.096994,4.102748,0.001381,2194.63,8.73
2026-03-18 21:49:08.570725,4.102679,4.10115,4.104347,0.000489,2187.16,8.77
2026-03-18 21:49:09.070786,4.101246,4.099232,4.103388,0.000825,2191.42,8.75
2026-03-18 21:49:09.570236,4.099812,4.098273,4.10115,0.000524,2195.68,8.72
2026-03-18 21:49:10.072087,4.099771,4.098273,4.10147,0.000592,2195.8,8.72
2026-03-18 21:49:10.570353,4.10056,4.099232,4.10147,0.000399,2193.46,8.73
2026-03-18 21:49:11.071120,4.100335,4.098273,4.101789,0.000574,2194.13,8.73
2026-03-18 21:49:11.569821,4.09897,4.097314,4.10115,0.000824,2198.19,8.71
2026-03-18 21:49:12.069960,4.097382,4.095715,4.098592,0.000477,2202.91,8.68
2026-03-18 21:49:12.570407,4.097058,4.095715,4.098273,0.000438,2203.88,8.68
2026-03-18 21:49:13.071632,4.096764,4.095395,4.097953,0.000451,2204.75,8.67
2026-03-18 21:49:13.571382,4.096695,4.095395,4.097953,0.000443,2204.96,8.67
2026-03-18 21:49:14.071375,4.096621,4.095395,4.097633,0.000419,2205.18,8.67
2026-03-18 21:49:14.570239,4.096757,4.095395,4.098273,0.000468,2204.78,8.67
2026-03-18 21:49:15.071291,4.096688,4.095395,4.097953,0.000414,2204.98,8.67
2026-03-18 21:49:15.571685,4.097028,4.095395,4.098273,0.000466,2203.97,8.68
2026-03-18 21:49:16.071573,4.097702,4.096355,4.099552,0.000546,2201.96,8.69
2026-03-18 21:49:16.571163,4.099205,4.097314,4.10115,0.000689,2197.49,8.71
2026-03-18 21:49:17.071522,4.10092,4.098592,4.102748,0.000767,2192.38,8.74
2026-03-18 21:49:17.569983,4.102319,4.10083,4.103708,0.000466,2188.23,8.76
2026-03-18 21:49:18.072570,4.103417,4.101789,4.104986,0.000632,2184.97,8.78
2026-03-18 21:49:18.571287,4.104413,4.102748,4.106585,0.000573,2182.01,8.8
2026-03-18 21:49:19.070900,4.109786,4.104347,4.118414,0.00349,2166.08,8.89
2026-03-18 21:49:19.571250,4.127106,4.117135,4.131201,0.003378,2115.03,9.2
2026-03-18 21:49:20.072065,4.1353,4.127365,4.145908,0.005076,2091.02,9.35
2026-03-18 21:49:20.566642,4.161631,4.145588,4.169565,0.007483,2014.52,9.86
2026-03-18 21:49:21.070744,4.171058,4.166368,4.174041,0.001996,1987.37,10.06
2026-03-18 21:49:21.569559,4.170002,4.168286,4.172123,0.000756,1990.4,10.03
2026-03-18 21:49:22.071695,4.16727,4.165409,4.169885,0.001016,1998.26,9.98
2026-03-18 21:49:22.569997,4.164658,4.162212,4.167007,0.001031,2005.79,9.93
2026-03-18 21:49:23.071209,4.163991,4.160933,4.166048,0.001079,2007.71,9.91
2026-03-18 21:49:23.570794,4.158438,4.155498,4.162212,0.001621,2023.74,9.8
2026-03-18 21:49:24.071290,4.155224,4.151023,4.158056,0.00169,2033.05,9.74
2026-03-18 21:49:24.571097,4.158658,4.151023,4.166048,0.004583,2023.11,9.8
2026-03-18 21:49:25.071600,4.165609,4.163491,4.167007,0.00064,2003.05,9.94
2026-03-18 21:49:25.570468,4.165672,4.163811,4.167647,0.000706,2002.86,9.95
2026-03-18 21:49:26.089785,4.159268,4.152621,4.165729,0.003887,2021.35,9.82
2026-03-18 21:49:26.570731,4.153679,4.151342,4.157097,0.001486,2037.52,9.71
2026-03-18 21:49:27.071411,4.179242,4.155179,4.190985,0.01157,1963.89,10.23
2026-03-18 21:49:27.570876,4.181928,4.173401,4.191304,0.005978,1956.21,10.29
2026-03-18 21:49:28.071172,4.169814,4.159654,4.176598,0.00556,1990.94,10.03
2026-03-18 21:49:28.570036,4.161384,4.158376,4.167007,0.002328,2015.23,9.86
2026-03-18 21:49:29.070533,4.16569,4.163811,4.167967,0.000663,2002.81,9.95
2026-03-18 21:49:29.570660,4.168743,4.165729,4.170524,0.001023,1994.02,10.01
2026-03-18 21:49:30.071443,4.166809,4.16477,4.168286,0.000653,1999.59,9.97
2026-03-18 21:49:30.570240,4.167334,4.165089,4.169245,0.000946,1998.08,9.98
2026-03-18 21:49:31.069656,4.164465,4.158056,4.167007,0.001919,2006.34,9.92
2026-03-18 21:49:31.570639,4.144091,4.131521,4.159974,0.0088,2065.37,9.52
2026-03-18 21:49:32.071293,4.130091,4.128644,4.13248,0.000669,2106.27,9.26
2026-03-18 21:49:32.570097,4.127718,4.125127,4.131521,0.001588,2113.23,9.21
2026-03-18 21:49:33.064544,4.129043,4.125767,4.13312,0.001743,2109.34,9.24
2026-03-18 21:49:33.570821,4.136578,4.131841,4.139514,0.001942,2087.29,9.38
2026-03-18 21:49:34.070179,4.135861,4.134079,4.138235,0.00085,2089.38,9.36
2026-03-18 21:49:34.569695,4.136349,4.134079,4.139194,0.001159,2087.95,9.37
2026-03-18 21:49:35.070202,4.141556,4.137595,4.144629,0.001704,2072.76,9.47
2026-03-18 21:49:35.570727,4.147219,4.14303,4.152621,0.002505,2056.27,9.58
2026-03-18 21:49:36.071963,4.153321,4.150703,4.155498,0.00089,2038.56,9.7
2026-03-18 21:49:36.570601,4.146248,4.137595,4.152301,0.004088,2059.1,9.56
2026-03-18 21:49:37.072136,4.134777,4.130562,4.138554,0.002081,2092.55,9.34
2026-03-18 21:49:37.570286,4.130992,4.128964,4.134079,0.001125,2103.63,9.27
2026-03-18 21:49:38.070558,4.134531,4.130882,4.137595,0.001692,2093.27,9.34
2026-03-18 21:49:38.570252,4.130003,4.127685,4.13312,0.001318,2106.53,9.25
2026-03-18 21:49:39.070377,4.126765,4.125127,4.128644,0.000748,2116.03,9.19
2026-03-18 21:49:39.570166,4.125485,4.123529,4.127365,0.000666,2119.79,9.17
2026-03-18 21:49:40.070077,4.124973,4.123529,4.126726,0.000463,2121.29,9.16
2026-03-18 21:49:40.568934,4.125357,4.123209,4.127045,0.000524,2120.16,9.17
2026-03-18 21:49:41.070566,4.125655,4.124488,4.127045,0.00044,2119.29,9.17
2026-03-18 21:49:41.569364,4.125568,4.124168,4.127365,0.000522,2119.54,9.17
2026-03-18 21:49:42.069617,4.125223,4.123848,4.126726,0.000496,2120.56,9.17
2026-03-18 21:49:42.569100,4.125123,4.123529,4.126726,0.000551,2120.85,9.16
2026-03-18 21:49:43.069920,4.12556,4.124168,4.127045,0.000462,2119.57,9.17
2026-03-18 21:49:43.570518,4.125318,4.123529,4.127045,0.000531,2120.28,9.17
2026-03-18 21:49:44.070567,4.125432,4.124168,4.126726,0.000477,2119.94,9.17
2026-03-18 21:49:44.569187,4.125464,4.124168,4.127045,0.000478,2119.85,9.17
2026-03-18 21:49:45.069972,4.125376,4.123848,4.126726,0.00057,2120.11,9.17
2026-03-18 21:49:45.569255,4.124957,4.123529,4.126406,0.000464,2121.34,9.16
2026-03-18 21:49:46.070561,4.125081,4.123209,4.126726,0.000551,2120.97,9.16
2026-03-18 21:49:46.569193,4.124748,4.123529,4.126086,0.000459,2121.95,9.16
2026-03-18 21:49:47.070071,4.124425,4.122889,4.126086,0.000487,2122.9,9.15
2026-03-18 21:49:47.569446,4.124306,4.122889,4.125447,0.000444,2123.25,9.15
2026-03-18 21:49:48.070028,4.124476,4.122889,4.126086,0.000535,2122.75,9.15
2026-03-18 21:49:48.569437,4.124428,4.122889,4.125767,0.000446,2122.89,9.15
2026-03-18 21:49:49.070624,4.124581,4.12257,4.126406,0.000553,2122.44,9.16
